w_n              t_n
61901.4705882353  54.380762
           61815  54.482505
61430.6862745098  54.584248
61795.7843137255  54.685991
61353.8235294118  54.787734
62497.1568627451  54.889477
61901.4705882353   54.99122
 61738.137254902  55.092963
61795.7843137255  55.194706
61757.3529411765  55.296449
62362.6470588235  55.398192
61872.6470588235  55.499935
61795.7843137255  55.601678
           61815  55.703421
61978.3333333333  55.805164
 62343.431372549  55.906907
62324.2156862745   56.00865
61987.9411764706  56.110393
61613.2352941177  56.212136
 62228.137254902  56.313879
62074.4117647059  56.415622
61786.1764705882  56.517365
62285.7843137255  56.619108
61882.2549019608  56.720851
62045.5882352941  56.822594
62103.2352941176  56.924337
62026.3725490196   57.02608
 62266.568627451  57.127823
62016.7647058824  57.229566
61959.1176470588  57.331309
62429.9019607843  57.433052
 61853.431372549  57.534795
 61776.568627451  57.636538
61968.7254901961  57.738281
62064.8039215686  57.840024
61661.2745098039  57.941767
62122.4509803922   58.04351
62007.1568627451  58.145253
61968.7254901961  58.246996
62525.9803921569  58.348739
62016.7647058823  58.450482
62429.9019607843  58.552225
61863.0392156863  58.653968
62074.4117647059  58.755711
62055.1960784314  58.857454
62218.5294117647  58.959197
62468.3333333333   59.06094
62362.6470588235  59.162683
62535.5882352941  59.264426
62958.3333333333  59.366169
62353.0392156863  59.467912
62189.7058823529  59.569655
62372.2549019608  59.671398
62007.1568627451  59.773141
62093.6274509804  59.874884
62045.5882352941  59.976627
62035.9803921569   60.07837
62477.9411764706  60.180113
62170.4901960784  60.281856
62823.8235294118  60.383599
62545.1960784314  60.485342
62122.4509803922  60.587085
62122.4509803922  60.688828
           62305  60.790571
62602.8431372549  60.892314
62199.3137254902  60.994057
 63246.568627451    61.0958
61584.4117647059  61.197543
61872.6470588235  61.299286
62497.1568627451  61.401029
61920.6862745098  61.502772
61824.6078431373  61.604515
61690.0980392157  61.706258
62122.4509803922  61.808001
62256.9607843137  61.909744
62862.2549019608  62.011487
62007.1568627451   62.11323
62535.5882352941  62.214973
62372.2549019608  62.316716
61373.0392156863  62.418459
62746.9607843137  62.520202
62237.7450980392  62.621945
 61853.431372549  62.723688
 61853.431372549  62.825431
62285.7843137255  62.927174
62372.2549019608  63.028917
